"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","5.3","6.6","6.7","9.3","10.8","9.4","11.2","","","","","","","","9.81","22.97","18.44","19.01","18.44","17.3","16.18","17.5","18.26","17.62","17.7","13.21","12.2","12.18","10.01","",
"American Samoa","ASM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","12.99","17.24","19.08","14.87","13.79","14.35","12.41","12.61","12.78","12.96","13.11","13.29","13.38","","","","5.11","","","","","","","","","","5.05","","","","","9.98","","","","","9.2","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","20.46","19.46","19.45","20.69","","","","","","","","","","","","","","","6","","","","","","","","","","8.42","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","6.26","6.11","5.78","7.16","9.96","8.99","8.26","8.08","8.11","7.23","6.18","6.93","9.59","10.73","10.88","9.72","8.47","8.51","8.37","7.68","6.88","6.29","6.75","6.38","5.93","5.4","5.04","4.79","4.38","4.24","5.57","5.21","5.08","5.23","5.66","6.08","6.06","5.71","5.59","5.3","5.16","6.46","5.12","3.7",
"Austria","AUT","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","2.8","2.4","1.5","1.3","1.2","1.3","2","2","1.8","2.1","2","1.9","2.06","3.35","4.11","3.8","3.6","3.12","3.79","3.55","3.14","3.25","3.42","3.59","4.25","3.54","4.35","5.28","5.15","5.52","4.7","4.69","4.01","4.85","4.78","5.97","5.68","5.32","4.91","4.2","5.37","4.88","4.64","4.91","5.37","5.67","5.8","6.06","5.56","4.93","4.56","5.2","6.46","",
"Azerbaijan","AZE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11","0.17","0.52","0.65","0.8","0.9","1.03","1.13","16.25","11.78","10.91","10.04","9.17","7.99","7.26","6.62","6.33","5.86","5.74","5.63","5.42","5.19","4.97","4.91","4.96","5","4.96","4.94","4.85","7.16","5.95","",
"Burundi","BDI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48","","","","","","","","","14","","","","","","","3.18","","1.63","","","","","","1.57","","","","","","1.03","","",
"Belgium","BEL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","2.1","2.7","2.8","3","5.1","6.5","5.67","7.9","6.96","9.1","11.35","13","11.66","11.88","11.32","11.28","11.26","10.13","8.28","7.25","6.98","6.7","8.08","9.65","9.34","9.48","8.95","9.32","8.65","6.59","6.18","6.91","7.68","7.36","8.44","8.25","7.46","6.98","7.91","8.29","7.14","7.54","8.43","8.52","8.48","7.83","7.09","5.95","5.36","5.55","6.26","",
"Benin","BEN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.18","","","","","","1.51","","","","","","","","","","0.69","","","","","","","","1.04","2.65","","","","","","","1.47","","","","",
"Burkina Faso","BFA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","","","","","","","","","2.58","","","","2.44","","","","","2.78","","4","","3.3","","","","","","","6.48","","","","4.69","","","","",
"Bangladesh","BGD","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","2.04","2.02","0.96","","","0.92","","2.2","","","","","2.51","","","","3.27","","","4.32","","4.25","3.59","","","5","3.38","","","4.43","","","4.35","4.37","","","","","",
"Bulgaria","BGR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","11.1","15.3","16.4","12.8","11.1","12.5","13.7","12.2","14.1","16.22","19.92","18.11","13.73","12.04","10.08","8.95","6.88","5.61","6.82","10.28","11.26","12.27","12.94","11.42","9.14","7.57","6.16","5.21","4.23","5.12","5.27","",
"Bahrain","BHR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","3.7","4","1.13","4","1.2","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","8.6","","21.2","","20.86","","14.7","","","","","","","12.09","","11.02","11.59","7.77","12.17","14.81","12.72","13.83","10.83","11.46","9.76","7.65","7.45","","6.87","9.05","10.84","10.2","10.2","7.54","7.88","8.18","14.25","","14.52","14.02","16.18","13.8","12","12.7","9.8","10","","","","",
"Bosnia and Herzegovina","BIH","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.55","","","","","","","","","","16.1","","","","","31.11","28.98","23.41","24.07","27.31","27.58","28.01","27.49","27.52","27.69","25.41","20.53","18.4","15.69","15.87","14.9","",
"Belarus","BLR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","0.5","1.4","2.1","2.9","4","2.8","2.3","2.1","2.1","2.3","3","3.1","1.9","1.5","1.2","1","0.8","6.1","","0.6","0.5","0.5","0.5","1","5.84","5.65","4.76","4.16","4.05","3.9","",
"Belize","BLZ","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.78","11.1","12.48","13.82","12.68","14.31","12.84","","9.07","10.04","","","10.91","9.39","8.51","8.18","","","","","8.35","8.24","7.58","7","6.6","","9.05","","10.16","",
"Bermuda","BMU","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.71","","","","","","","","","4.48","6.49","","8.44","6.66","8.94","","","","","","","","",
"Bolivia","BOL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","9","8.1","7.1","6.1","5.2","5.3","5.3","5.5","5.6","6.1","10.16","11.6","14.19","14.66","19.28","19.76","20.32","18","10.1","6.69","6.59","5.52","5.99","3.08","3.69","5.23","2.08","","3.93","4.47","5.24","5.48","","4.17","5.45","5.08","5.18","2.6","2.97","","2.25","2.07","2.44","2.02","3.11","3.5","3.65","3.52","3.68","7.9","5.09","",
"Brazil","BRA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","3.06","2.78","","","1.92","2.32","2.36","2.76","","3.99","4.83","4.62","4.04","3.38","2.37","3.56","3.79","2.97","3.69","","6.42","6.03","","7.09","8.03","9","10.15","11.13","","10.65","10.64","11.17","10.07","10.55","9.69","9.28","8.27","9.42","","7.58","7.25","7.07","6.76","8.54","11.58","12.79","12.33","11.94","13.7","13.16","9.23",
"Barbados","BRB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","9.86","12.45","13.29","9.45","8.98","7.23","8.39","9.06","17.02","18.85","17.88","17.94","17.57","14.06","8.16","7.52","22.94","24.54","22.98","19.66","14.71","14.61","12.4","10.61","9.35","9.85","10.32","11","","","","","","10.02","10.69","11.19","11.59","11.55","12.17","9.8","8.25","8.62","8.32","8.41","","","",
"Brunei Darussalam","BRN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","8.25","7.85","8.06","8.7","10.04","7.67","7.84","6.55","6.04","","","","","","","","4.7","","","","","","","","","","","","","","","","","","","","","","","6.86","","","9.32","8.7","6.6","7.41","4.91","",
"Bhutan","BTN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.4","","1.9","","1.8","2.49","3.1","3.13","3.7","","3.96","3.32","3.23","2.05","2.87","2.63","2.45","","","3.35","2.72","5.03","4.8","",
"Botswana","BWA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","25.67","","","","","","13.82","","","21.2","","21.59","","20.86","","15.88","18.54","","23.8","","","17.78","","","16.17","17.86","","","","","","","","","20.09","21.02","23.11","23.62",
"Central African Republic","CAF","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","4.7","5.9","6.4","6.3","5.6","5.4","","7.09","8.05","8.38","7.53","7.54","7.61","11.04","12.02","11.34","10.5","9.59","8.82","7.76","7.55","8.13","10.32","11.2","11.38","10.4","9.49","9.62","9.1","8.28","7.58","6.83","7.22","7.66","7.57","7.19","6.76","6.32","6.04","6.14","8.34","8.06","7.51","7.29","7.07","6.91","6.91","7","6.34","5.83","5.66","9.46","7.46","5.26",
"Central Europe and the Baltics","CEB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2041052588582","11.2255441586826","10.5495751128283","10.0855675837066","9.2160599210101","9.01045072778422","10.4116756901786","12.4415131150552","13.2533041929105","13.7706004727781","13.0065443005255","12.9275249776206","12.0604305812037","10.1035990478017","7.81052765241356","6.60789719028883","8.48918798567593","9.90228094590857","9.78976464048033","9.97994487308831","10.0509873728944","8.86422987566472","7.81913303861969","6.49021698727518","5.297875418613","4.31741381300034","3.78169949154895","4.37052790472184","4.48643309487667","",
"Switzerland","CHE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","0.3","0.7","0.4","0.4","0.4","0.2","0.2","0.4","0.9","1.1","1","0.8","0.8","0.7","0.6","2.07","1.82","2.34","3.55","3.58","3.09","3.68","4.13","3.57","3.05","2.66","2.49","2.92","4.12","4.32","4.44","3.99","3.64","3.35","4.11","4.81","4.41","4.49","4.75","4.83","4.8","4.92","4.8","4.71","4.39","4.82","5.1","",
"Channel Islands","CHI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","14.69","12.75","11.83","14.26","13.63","10.46","11.35","19.6","14.65","13.91","","8.71","","6.23","5.29","5.63","5.23","4.35","4.49","5.87","4.7","7.41","7.14","7.31","11.16","10.49","10.39","10.17","9.77","10.16","9.34","9.02","8.43","9.29","11.31","8.41","7.32","6.64","6.2","6.65","6.49","6.73","6.95","7.21","7.27","10.94","9.28","8.25",
"China","CHN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","5.3","5.4","4.9","3.8","3.2","2.3","1.9","1.8","2","2","2","2.6","2.5","2.3","2.3","2.6","2.8","2.9","3","3.1","3.1","3.1","3.1","3.6","4","4.3","4.2","4.2","4.1","4","4.2","4.3","4.1","4.1","4.1","4.05","4.1","","","3.9","4.93","5.15","5.61","5.11","",
"Cote d'Ivoire","CIV","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7","","","4.1","","","4.1","","","","","","","","","","","","","","7.22","4.25","","","1.9","3.27","","2.4","","","",
"Cameroon","CMR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.06","","","","","7.46","","","","4.4","","3.06","","","4.11","","","","3.53","","","","","","","","",
"Congo, Dem. Rep.","COD","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.95","","","","","","","4.49","","","","","","","","1.47","","",
"Congo, Rep.","COG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8","","","","19.86","","","10","","","","","","","","","","",
"Colombia","COL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","10.55","","9.4","","","9.1","8.13","11.46","11.13","13","13.89","12.94","10.83","","","","10.12","9.44","7.8","8.25","8.72","11.81","12.14","15","20.06","20.52","15.04","14.48","13.22","13.72","11.06","","11.2","11.27","12.07","11.15","10.29","9.96","9.25","8.8","8.57","8.92","9.09","9.36","10.28","15.98","13.9","10.55",
"Comoros","COM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.57","","","","","","","","","","8.14","","","","","","","5.86","",
"Cabo Verde","CPV","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","","","","","","","","","","","","","","","","","","","10.67","","","","","31.31","","12.24","12.17","11.29","","","",
"Costa Rica","CRI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05","6.4","6.65","6.44","6.75","5.93","4.56","4.93","7.82","7.17","9.52","9.11","8.22","8.5","8.42","8.09","7.73","9.01","10.81","16.43","15.14","11.32",
"Caribbean small states","CSS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6931306428233","15.7259712305599","16.5780707864496","17.1986261221129","16.2256228996749","15.724005906455","15.3076900492785","15.0978230362663","14.2767242874997","14.0188005658046","","12.7692049350524","12.4620953475185","11.6008972300993","11.0142428005903","10.4199934468275","9.206885278317","8.4285934755473","6.75065429134289","7.83579749251748","6.69860934520451","7.86497004368969","8.28668392688036","8.66930876285015","7.69580069073593","9.67415819351318","7.47008906622903","","","6.25800080428249","","","",
"Cuba","CUB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.27","7.61","7.1","6.23","6.26","5.45","4.08","3.31","2.33","1.85","1.95","1.91","1.79","1.58","1.67","2.5","3.18","3.46","3.29","2.7","2.4","2","1.7","1.7","","","","",
"Curacao","CUW","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.78","","13.03","12.61","11.71","","","13.43","","19.07","","",
"Cayman Islands","CYM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.91","","7.22","5.74","4.94","5.1","4.14","4.17","","","7.54","5.37","3.61","3.45","3.54","2.62","3.83","3.97","6.04","6.68","6.78","6.21","6.27","4.7","4.24","","","","","","","",
"Cyprus","CYP","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","10.9","7.4","3.1","2","1.7","2","2.6","2.8","3.3","3.3","3.3","3.7","3.4","2.8","2.3","1.8","3","2.09","2.7","2.7","2.6","3.1","3.4","3.3","5.53","4.77","4.04","3.34","4.15","4.77","5.48","4.59","3.95","3.76","5.59","6.36","7.94","12.1","16.13","16.28","15.03","13.01","11.16","8.5","7.15","7.76","7.51","",
"Czechia","CZE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","2.27","2.6","4.32","4.3","4.02","3.89","4.79","6.45","8.7","8.76","8.13","7.28","7.78","8.3","7.93","7.14","5.32","4.39","6.66","7.28","6.71","6.98","6.95","6.11","5.05","3.95","2.89","2.25","2.02","2.55","2.8","",
"Germany","DEU","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","6.45","6.67","6.88","6.61","6.81","6.32","5.7","4.89","5.32","6.32","7.68","8.73","8.16","8.82","9.86","9.79","8.85","7.92","7.77","8.48","9.78","10.73","11.17","10.25","8.66","7.52","7.74","6.97","5.82","5.38","5.23","4.98","4.62","4.12","3.75","3.38","3.14","3.86","3.57","",
"Djibouti","DJI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.06","","","","","",
"Dominica","DMA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.33","","9.53","","","","","","23.18","","15.67","","10.96","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","0.9","2.1","5.1","5.3","6.4","7.3","6.1","7","9.2","10","9.74","8.87","7.8","6.03","6.09","6.49","8.15","8.34","9.1","9.03","10.72","8.04","6.99","6.84","5.4","5.04","5.14","4.48","4.16","4.27","5.4","5.2","4.83","3.9","3.8","3.68","6.41","7.75","7.77","7.8","7.38","6.93","6.28","5.99","5.83","5.13","5.02","5.64","5.06","",
"Dominican Republic","DOM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.43","7.26","6.78","6.94","6.3","6.59","5.65","5.16","4.76","5.47","5.21","6.09","6.72","7.35","6.72","7.61","7.28","5.83","5.86","6.18","6.13","7.7","",
"Algeria","DZA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.64","21.26","20.6","24.38","26.23","27.74","31.84","","25.43","","","29.77","27.3","25.9","23.72","17.65","15.27","12.27","13.79","11.33","10.16","9.96","9.96","10.97","9.82","10.21","11.21","10.2","12","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.76604390753219","2.59357980513715","2.54828162463301","2.79419790707266","3.11816034539306","3.05753602721395","3.22489692392394","3.32005538870363","3.54411109119689","3.59709021749945","3.60341233671731","3.78330261662952","4.2046564249591","4.30855192028031","4.33051535635125","4.46660006395546","4.37001972617971","4.20130217112576","4.37748717516027","4.22594371951349","3.93707739715839","3.87760002276411","3.80272718359954","3.74486747727225","3.75933372449167","","","3.53131422912164","4.29892850211004","4.3398890326952","4.85494674117049","4.58541818677752","",
"Early-demographic dividend","EAR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.67241229215794","","","","","","5.44454676853282","","","","","8.07381520208997","","","","","4.8591574834706","","5.0120935972866","","","","","","6.9266450589172","6.34473928007019","7.48872743059084","6.59621281142282","",
"East Asia & Pacific","EAS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.74523678725038","2.61903552605229","2.60060224987965","2.85107220101508","3.14011351908716","3.09102193118031","3.25860188848221","3.34927078473126","3.69231232221046","3.76611404055427","3.71410070185269","3.90111023344828","4.30400382386064","4.38158880893038","4.35673316142217","4.45040070551384","4.33337328291925","4.15476125349453","4.31445250313482","4.29666864478298","4.02138396917617","3.91664303975","3.83469205434621","3.76616564430034","3.76351825251059","","","3.52374126939988","4.18628261151321","4.20972584112936","4.72433129569776","4.46301192275606","",
"Europe & Central Asia (excluding high income)","ECA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.34541915069117","5.8646017295121","7.43918893398514","7.90448081716407","8.74633140903988","10.0636070988412","11.224775860909","11.8489834039038","9.62583528467494","9.07212504933058","8.55263760278845","8.52387555601249","8.20018881336542","7.61606556903273","7.41392916111539","7.09517978603321","7.27640499871204","9.17333827974159","8.54456834559996","7.67991868502748","7.04556217125688","7.06177246751747","7.31379892591644","7.46260811314147","7.61566187035367","7.39375043395608","7.30934509871775","7.46395503338331","7.65844063988409","7.33416213753699","",
"Europe & Central Asia","ECS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.30767325486066","8.6844947880344","9.65111864997092","9.4275463754003","9.78478185382322","10.1160613186496","10.2821204210203","10.3749245562945","9.25654306202445","8.61590638021418","8.62575580789589","8.7045168438444","8.68585826786723","8.34751138655705","7.82337744141909","7.09400204149288","7.07535748478762","8.97743891998772","9.06849696157108","8.73036682776002","8.93997649302478","9.14158836946923","8.8924649016658","8.50812636127383","8.08689296166438","7.47574207904425","6.98328674705319","6.73853419935685","7.28497099500177","7.110813978364","",
"Ecuador","ECU","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","4.4","5.3","","5.8","","","","","","","","","","7.24","6.99","7.71","5.88","8.19","8.56","7.95","6.68","6.7","10.38","9.17","11.49","13.96","4.8","4.25","","5.66","5","3.78","3.55","3.14","3.92","4.61","4.09","3.46","3.23","3.08","3.48","3.62","4.6","3.84","3.53","3.81","6.11","4.5","",
"Egypt, Arab Rep.","EGY","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","2.4","1.82","1.53","1.71","2.3","2.57","","3.13","3.64","4.55","5.18","4.97","5.21","6.47","5.89","","","","","7.06","8.43","9.38","8.92","10.92","10.93","11.04","9","8.37","8.03","7.95","8.98","9.26","10.01","10.91","10.32","11.05","10.49","8.8","8.52","9.09","8.76","11.85","12.6","13.15","13.1","13.05","12.45","11.77","9.86","7.85","7.97","7.44","",
