,Albania,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Belarus,Brunei Darussalam,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Costa Rica,Cuba,Cyprus,Czechia,Denmark,Algeria,"Egypt, Arab Rep.",Spain,Estonia,Ethiopia,Finland,France,United Kingdom,Georgia,Ghana,Guinea,Greece,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iceland,Israel,Italy,Jordan,Japan,Kenya,Kyrgyz Republic,Cambodia,"Korea, Rep.",Kuwait,Lao PDR,St. Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Madagascar,Mexico,North Macedonia,Mali,Malta,Myanmar,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Niger,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Senegal,El Salvador,Slovak Republic,Slovenia,Sweden,Eswatini,Syrian Arab Republic,Togo,Thailand,Tajikistan,Trinidad and Tobago,Tunisia,Turkiye,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,"Venezuela, RB",Vietnam,Zimbabwe
0,-1.0,-1.0,-1.0,-1.0,-1.0,16.673492292954954,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.328166177963467,-1.0,-1.0,-1.0,86.36096569776599,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.25434962995938815,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.332063594460916,-1.0,-1.0,-1.0,-1.0,7.070249841408241,-1.0,11.457397094648115,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.22862425935935,2.35296415134097,-1.0,6.653694695288639,-1.0,2.010820706337668,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.1622887050537374,-1.0,4.425816048196118,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19915902205827052,-1.0,-1.0,0.8721333679071552,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.2742121720265303,-1.0,15.429697945486243,-1.0,-1.0,-1.0,-1.0,11.327705563162214,-1.0,28.0226788840491,-1.0,-1.0,-1.0,0.3964619367365003,-1.0,-1.0,4.675449711867181,0.11749596377693772,1.3658424693536482,-1.0,-1.0,16.785017266143207,0.3402908361032706,-1.0,-1.0,-1.0,-1.0,12.91055990387742,-1.0,38.88455997048263,20.369836880079518,-1.0,-1.0,-1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,16.830644559000557,-1.0,0.02663902717564315,-1.0,-1.0,-1.0,-1.0,-1.0,9.667999978490222,-1.0,-1.0,-1.0,86.03017951207578,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.41597044208521927,-1.0,0.5115087002818672,-1.0,-1.0,-1.0,0.19439699161385393,-1.0,4.867389962203635,-1.0,-1.0,-1.0,-1.0,8.100419864563605,-1.0,12.163260177151152,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.247556758710681,3.515216201480778,-1.0,7.631636460427102,-1.0,2.805650407906995,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.2164497959268674,-1.0,5.016585699818314,-1.0,-1.0,-1.0,0.834556477611104,-1.0,0.009866614948985317,-1.0,0.20971346068860866,-1.0,-1.0,1.1915358912854395,0.005603993528046081,-1.0,-1.0,-1.0,-1.0,-1.0,3.099944546490709,-1.0,15.756786392620635,-1.0,-1.0,-1.0,-1.0,11.447277062526217,-1.0,28.90606215263743,-1.0,-1.0,-1.0,0.9149632099253993,-1.0,-1.0,5.957353923930423,0.24680513050936803,1.902378472952025,-1.0,-1.0,16.91239465755122,0.5309949976417313,-1.0,-1.0,-1.0,-1.0,14.112823870855214,-1.0,39.799804851869105,20.196132943315234,-1.0,-1.0,-1.0
2,-1.0,-1.0,-1.0,-1.0,-1.0,16.987796825046157,-1.0,1.4159386148061563,-1.0,-1.0,-1.0,-1.0,-1.0,11.007833779016977,-1.0,-1.0,-1.0,85.69939332638558,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5775912542110504,-1.0,1.4528773127615224,-1.0,-1.0,-1.0,1.6834013938343242,-1.0,5.4027163299463545,-1.0,-1.0,-1.0,-1.0,9.13058988771897,0.3232185138917911,12.86912325965419,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.266489258062013,4.677468251620586,-1.0,8.609578225565565,-1.0,3.6004801094763215,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.2706108867999975,-1.0,5.607355351440509,-1.0,-1.0,-1.0,1.8000496588548855,-1.0,0.10203524709840536,-1.0,0.2202678993189468,-1.0,-1.0,1.5109384146637237,1.403148337143651,-1.0,-1.0,-1.0,-1.0,-1.0,3.9256769209548876,0.4035514624031764,16.083874839755026,-1.0,-1.0,-1.0,-1.0,11.56684856189022,-1.0,29.789445421225757,-1.0,-1.0,-1.0,1.4334644831142982,-1.0,-1.0,7.2392581359936665,0.37611429724179835,2.438914476550402,-1.0,-1.0,17.039772048959232,0.721699159180192,-1.0,-1.0,-1.0,-1.0,15.315087837833008,-1.0,40.715049733255576,20.022429006550947,-1.0,-1.0,-1.0
3,-1.0,-1.0,-1.0,-1.0,-1.0,17.14494909109176,-1.0,2.8052382024366693,-1.0,-1.0,-1.0,-1.0,-1.0,12.347667579543732,-1.0,-1.0,-1.0,85.36860714069536,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7392120663368816,-1.0,2.3942459252411776,-1.0,-1.0,-1.0,3.172405796054795,-1.0,5.938042697689073,-1.0,-1.0,-1.0,-1.0,10.160759910874336,1.5446691562520063,13.574986342157228,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.285421757413346,5.839720301760394,0.15218138367173006,9.58751999070403,-1.0,4.395309811045648,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3247719776731275,-1.0,6.198125003062703,-1.0,-1.0,-1.0,2.765542840098667,-1.0,0.1942038792478254,-1.0,0.23082233794928492,-1.0,-1.0,1.830340938042008,2.800692680759256,0.8968207492347586,-1.0,1.0440094565534412,-1.0,-1.0,4.751409295419066,1.327748914176524,16.41096328688942,-1.0,-1.0,-1.0,-1.0,11.686420061254223,-1.0,30.67282868981409,-1.0,-1.0,-1.0,1.9519657563031971,-1.0,-1.0,8.52116234805691,0.5054234639742287,2.975450480148779,-1.0,-1.0,17.167149440367247,0.9124033207186528,-1.0,-1.0,-1.0,-1.0,16.517351804810804,-1.0,41.630294614642054,19.848725069786664,-1.0,-1.0,-1.0
4,-1.0,0.40882229332776276,-1.0,-1.0,-1.0,17.302101357137364,-1.0,4.194537790067183,-1.0,-1.0,-1.0,-1.0,-1.0,13.687501380070486,-1.0,-1.0,-1.0,85.03782095500516,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9008328784627128,-1.0,3.335614537720833,-1.0,-1.0,-1.0,4.661410198275265,-1.0,6.473369065431792,-1.0,-1.0,-1.0,1.2250181906563862,11.1909299340297,2.7661197986122215,14.280849424660264,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.304354256764677,7.001972351900202,0.8860044415639106,10.565461755842493,-1.0,5.190139512614975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3789330685462575,0.1132618507852623,6.788894654684899,-1.0,-1.0,-1.0,3.7310360213424487,-1.0,0.28637251139724546,-1.0,0.24137677657962306,-1.0,-1.0,2.149743461420292,4.198237024374861,2.4875437613094613,-1.0,2.7879161741653693,-1.0,-1.0,5.577141669883245,2.2519463659498715,16.738051734023813,-1.0,-1.0,-1.0,-1.0,11.805991560618226,-1.0,31.556211958402418,-1.0,-1.0,-1.0,2.470467029492096,-1.0,-1.0,9.803066560120152,0.634732630706659,3.5119864837471555,-1.0,-1.0,17.294526831775258,1.1031074822571134,-1.0,-1.0,-1.0,-1.0,17.719615771788597,-1.0,42.545539496028525,19.675021133022376,-1.0,-1.0,-1.0
5,-1.0,2.0144179662163637,-1.0,-1.0,-1.0,17.459253623182963,-1.0,5.583837377697696,-1.0,-1.0,-1.0,-1.0,-1.0,15.027335180597241,-1.0,-1.0,-1.0,84.70703476931494,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0624536905885438,-1.0,4.276983150200488,-1.0,-1.0,-1.0,6.1504146004957345,-1.0,7.008695433174512,-1.0,-1.0,-1.0,3.1359165471913837,12.221099957185064,3.987570440972437,14.9867125071633,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.323286756116008,8.16422440204001,1.619827499456091,11.543403520980956,-1.0,5.984969214184302,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.4330941594193876,0.7535430113076633,7.3796643063070935,-1.0,-1.0,-1.0,4.69652920258623,-1.0,0.3785411435466655,-1.0,0.2519312152099612,-1.0,-1.0,2.469145984798576,5.595781367990466,4.078266773384164,-1.0,4.531822891777297,-1.0,-1.0,6.402874044347423,3.1761438177232186,17.065140181158203,-1.0,-1.0,0.3106946654649203,-1.0,11.92556305998223,-1.0,32.43959522699075,-1.0,-1.0,-1.0,2.988968302680995,-1.0,-1.0,11.084970772183395,0.7640417974390893,4.048522487345532,-1.0,-1.0,17.421904223183272,1.2938116437955742,-1.0,-1.0,-1.0,-1.0,18.921879738766393,-1.0,43.460784377415,19.501317196258093,-1.0,-1.0,-1.0
6,-1.0,3.6200136391049664,-1.0,-1.0,-1.0,17.616405889228567,-1.0,6.973136965328209,-1.0,-1.0,-1.0,0.01778356210952925,-1.0,16.367168981123996,-1.0,-1.0,-1.0,84.37624858362474,0.7842684702003107,-1.0,-1.0,-1.0,-1.0,-1.0,1.2240745027143751,-1.0,5.218351762680143,-1.0,-1.0,-1.0,7.639419002716206,-1.0,7.54402180091723,-1.0,-1.0,-1.0,5.04681490372638,13.25126998034043,5.209021083332652,15.692575589666339,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.342219255467342,9.326476452179818,2.3536505573482716,12.52134528611942,-1.0,6.779798915753628,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.4872552502925176,1.3938241718300644,7.970433957929289,-1.0,-1.0,-1.0,5.662022383830012,-1.0,0.4707097756960855,-1.0,0.2624856538402993,-1.0,-1.0,2.7885485081768606,6.9933257116060705,5.668989785458868,-1.0,6.275729609389227,-1.0,0.025961633086505786,7.2286064188116015,4.100341269496567,17.392228628292596,-1.0,-1.0,0.8003588058076243,-1.0,12.045134559346232,-1.0,33.32297849557908,-1.0,-1.0,-1.0,3.507469575869894,-1.0,-1.0,12.366874984246639,0.8933509641715196,4.58505849094391,-1.0,-1.0,17.549281614591287,1.484515805334035,-1.0,-1.0,-1.0,-1.0,20.12414370574419,0.3487203347218033,44.37602925880148,19.32761325949381,-1.0,-1.0,-1.0
7,-1.0,5.225609311993569,-1.0,-1.0,-1.0,17.77355815527417,-1.0,8.362436552958723,-1.0,-1.0,-1.0,1.3138015167767474,-1.0,17.70700278165075,-1.0,-1.0,-1.0,84.04546239793453,1.9294691251554124,-1.0,-1.0,-1.0,-1.0,-1.0,1.3856953148402062,-1.0,6.159720375159798,-1.0,-1.0,-1.0,9.128423404936676,-1.0,8.07934816865995,-1.0,-1.0,-1.0,6.957713260261377,14.281440003495796,6.4304717256928665,16.398438672169377,-1.0,-1.0,-1.0,-1.0,-1.0,0.3611065239292568,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.36115175481867,10.488728502319626,3.0874736152404516,13.499287051257884,-1.0,7.574628617322954,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.5414163411656476,2.034105332352466,8.561203609551484,-1.0,-1.0,-1.0,6.627515565073794,-1.0,0.5628784078455056,-1.0,0.2730400924706375,-1.0,-1.0,3.107951031555145,8.390870055221676,7.25971279753357,-1.0,8.019636327001155,-1.0,0.19072543596870695,8.05433879327578,5.024538721269915,17.71931707542699,-1.0,-1.0,1.2900229461503279,-1.0,12.164706058710236,-1.0,34.206361764167404,-1.0,-1.0,-1.0,4.025970849058793,-1.0,-1.0,13.648779196309881,1.02266013090395,5.121594494542286,-1.0,-1.0,17.676659005999298,1.6752199668724956,-1.0,-1.0,-1.0,-1.0,21.32640767272198,1.534155167450928,45.29127414018795,19.153909322729522,0.7607381242137272,-1.0,-1.0
8,-1.0,6.83120498488217,-1.0,0.28253097643973035,1.2202983800222373,17.93071042131977,-1.0,9.751736140589236,-1.0,-1.0,-1.0,2.6098194714439664,-1.0,19.046836582177505,-1.0,-1.0,0.0496836757544199,83.71467621224431,3.074669780110515,-1.0,-1.0,-1.0,-1.0,-1.0,1.5473161269660374,-1.0,7.101088987639454,-1.0,-1.0,-1.0,10.617427807157146,-1.0,8.614674536402669,-1.0,-1.0,-1.0,8.868611616796374,15.31161002665116,7.651922368053082,17.104301754672413,-1.0,-1.0,-1.0,-1.0,-1.0,0.788743002791152,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.380084254170004,11.650980552459433,3.8212966731326325,14.477228816396348,-1.0,8.369458318892281,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.5955774320387777,2.6743864928748664,9.15197326117368,-1.0,-1.0,-1.0,7.593008746317575,-1.0,0.6550470399949256,-1.0,0.2835945311009756,-1.0,-1.0,3.427353554933429,9.788414398837281,8.850435809608273,-1.0,9.763543044613083,-1.0,0.35548923885090833,8.88007116773996,5.948736173043262,18.04640552256138,-1.0,-1.0,1.7796870864930314,-1.0,12.28427755807424,-1.0,35.08974503275574,-1.0,-1.0,-1.0,4.544472122247692,-1.0,-1.0,14.930683408373124,1.1519692976363802,5.658130498140663,-1.0,-1.0,17.804036397407312,1.8659241284109565,-1.0,-1.0,-1.0,-1.0,22.528671639699773,2.7195900001800517,46.20651902157443,18.980205385965238,2.0903670293149172,-1.0,0.11543924109716386
9,-1.0,8.436800657770771,-1.0,2.539049454103818,2.888431626299596,18.087862687365373,-1.0,11.141035728219748,-1.0,-1.0,-1.0,3.9058374261111855,-1.0,20.38667038270426,-1.0,-1.0,0.10857958633527554,83.38389002655411,4.2198704350656175,-1.0,-1.0,0.10606127567769619,-1.0,-1.0,1.7089369390918685,-1.0,8.042457600119109,-1.0,-1.0,-1.0,12.106432209377616,-1.0,9.150000904145388,1.6843323573173166,-1.0,-1.0,10.779509973331372,16.341780049806523,8.873373010413298,17.81016483717545,-1.0,-1.0,-1.0,-1.0,-1.0,1.216379481653047,-1.0,-1.0,-1.0,-1.0,0.7261382456730239,-1.0,-1.0,18.399016753521337,12.813232602599241,4.5551197310248135,15.45517058153481,-1.0,9.164288020461608,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.6497385229119077,3.314667653397267,9.742742912795874,-1.0,-1.0,-1.0,8.558501927561357,-1.0,0.7472156721443457,-1.0,0.29414896973131377,-1.0,-1.0,3.746756078311713,11.185958742452886,10.441158821682976,-1.0,11.507449762225011,-1.0,0.5202530417331097,9.705803542204137,6.872933624816609,18.373493969695772,-1.0,-1.0,2.2693512268357354,-1.0,12.403849057438244,-1.0,35.97312830134406,-1.0,-1.0,-1.0,5.0629733954365905,-1.0,-1.0,16.212587620436366,1.2812784643688104,6.194666501739039,-1.0,-1.0,17.931413788815327,2.0566282899494173,-1.0,-1.0,-1.0,-1.0,23.73093560667757,3.9050248329091755,47.1217639029609,18.806501449200955,3.4199959344161073,-1.0,0.2851640160337292
